observed_at_utc,observed_at_london,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,outcome,price_decimal,point
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,Toronto Argonauts,1.85,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,Winnipeg Blue Bombers,1.88,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Toronto Argonauts,1.9,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Winnipeg Blue Bombers,1.91,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betway,Betway,2026-09-25T18:41:46Z,h2h,Toronto Argonauts,1.87,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betway,Betway,2026-09-25T18:41:46Z,h2h,Winnipeg Blue Bombers,1.95,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Toronto Argonauts,1.87,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Winnipeg Blue Bombers,1.95,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Toronto Argonauts,1.91,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Winnipeg Blue Bombers,2.02,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Toronto Argonauts,1.97,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,3f46333399af3769c9bede72693d1165,americanfootball_cfl,CFL,2026-09-26T00:00:00Z,Winnipeg Blue Bombers,Toronto Argonauts,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h_lay,Winnipeg Blue Bombers,2.1,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,BC Lions,1.47,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,leovegas,LeoVegas,2026-09-25T18:41:05Z,h2h,Saskatchewan Roughriders,2.55,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,BC Lions,1.5,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,unibet_uk,Unibet (UK),2026-09-25T18:41:44Z,h2h,Saskatchewan Roughriders,2.65,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betway,Betway,2026-09-25T18:41:46Z,h2h,BC Lions,1.5,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betway,Betway,2026-09-25T18:41:46Z,h2h,Saskatchewan Roughriders,2.65,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,BC Lions,1.53,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betfred_uk,Betfred (UK),2026-09-25T18:41:26Z,h2h,Saskatchewan Roughriders,2.55,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,BC Lions,1.54,
2026-09-25T18:42:01.911829+00:00,2026-09-25T19:42:01.911829+01:00,0c54350364278a813c63376fd1956e81,americanfootball_cfl,CFL,2026-09-26T02:30:00Z,BC Lions,Saskatchewan Roughriders,betfair_ex_uk,Betfair,2026-09-25T18:41:27Z,h2h,Saskatchewan Roughriders,2.7,
